"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"HEATHMILLER","TE","Heath Miller","PIT",9,89,8.1,3,NA,0,0,0,0,0,0,1,1,1,0,1,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",33,89,8.1,6,NA,0,0,0,0,0,0,3,21,1,0,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",9,89,8.1,11,NA,0,0,0,0,0,0,8,81,0,0,0,0
"JOSEPHFAURIA","TE","Joseph Fauria","DET",11,92,7.7,2,NA,0,0,0,0,0,0,2,17,1,0,0,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",21,92,7.7,2,NA,0,0,0,4,63,0,1,14,0,0,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",21,92,7.7,0,NA,0,0,0,1,17,1,0,0,0,0,0,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",21,92,7.7,2,NA,0,0,0,20,66,0,2,11,0,0,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",24,96,7.5,0,NA,0,0,0,9,15,1,0,0,0,0,0,0
"FREDJACKSON","RB","Fred Jackson","BUF",25,97,7.2,14,NA,0,0,0,8,35,0,10,37,0,0,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO",34,97,7.2,7,NA,0,0,0,0,0,0,5,72,0,0,0,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",35,99,7.1,3,NA,0,0,0,0,0,0,2,11,1,0,0,0
"DANIELHERRON","RB","Daniel Herron","IND",26,99,7.1,7,NA,0,0,0,8,26,0,4,45,0,0,0,0
"MARQISELEE","WR","Marqise Lee","JAX",35,99,7.1,8,NA,0,0,0,1,4,0,5,67,0,0,0,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",35,99,7.1,4,NA,0,0,0,0,0,0,2,11,1,0,0,0
"COLTMCCOY","QB","Colt McCoy","WAS",29,103,7.06,0,NA,199,0,2,2,11,0,0,0,0,0,0,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAX",12,104,6.9,4,NA,0,0,0,0,0,0,3,69,0,0,0,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",38,104,6.9,6,NA,0,0,0,1,13,0,4,56,0,0,0,0
"BRUCEMILLER","RB","Bruce Miller","SF",27,106,6.8,1,NA,0,0,0,0,0,0,1,8,1,0,0,0
"BENJAMINWATSON","TE","Benjamin Watson","NO",13,106,6.8,4,NA,0,0,0,0,0,0,2,8,1,0,0,0
"JEREMYHILL","RB","Jeremy Hill","CIN",28,108,6.7,4,NA,0,0,0,8,46,0,3,21,0,0,0,0
"TREMASON","RB","Tre Mason","STL",29,109,6.6,2,NA,0,0,0,20,66,0,0,0,0,0,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",14,109,6.6,1,NA,0,0,0,0,0,0,1,6,1,0,0,0
"CHRISJOHNSON","RB","Chris Johnson","NYJ",29,109,6.6,2,NA,0,0,0,16,53,0,2,13,0,0,0,0
"ERICWEEMS","WR","Eric Weems","ATL",39,112,6.5,1,NA,0,0,0,0,0,0,1,5,1,0,0,0
"MATTASIATA","RB","Matt Asiata","MIN",31,113,6.4,4,NA,0,0,0,19,54,0,3,10,0,0,0,0
"JASONAVANT","WR","Jason Avant","KC",40,113,6.4,7,NA,0,0,0,0,0,0,5,64,0,0,0,0
"FRANKGORE","RB","Frank Gore","SF",32,115,6.3,0,NA,0,0,0,12,63,0,0,0,0,0,0,0
"DEREKHAGAN","WR","Derek Hagan","TEN",41,116,6.2,7,NA,0,0,0,0,0,0,6,62,0,0,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",33,116,6.2,3,NA,0,0,0,5,28,0,2,34,0,0,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",42,118,6.1,4,NA,0,0,0,0,0,0,3,61,0,0,0,0
"PRESTONPARKER","WR","Preston Parker","NYG",43,119,6,5,NA,0,0,0,0,0,0,5,60,0,0,0,0
"JEROMEFELTON","RB","Jerome Felton","MIN",34,119,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",44,121,5.8,9,NA,0,0,0,1,4,0,4,54,0,0,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",35,122,5.7,2,NA,0,0,0,16,73,0,1,4,0,0,0,1
"RANDALLCOBB","WR","Randall Cobb","GB",45,122,5.7,5,NA,0,0,0,1,-1,0,4,58,0,0,0,0
"NATEWASHINGTON","WR","Nate Washington","TEN",46,124,5.6,3,NA,0,0,0,0,0,0,3,56,0,0,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","SF",46,124,5.6,14,NA,0,0,0,0,0,0,9,56,0,0,0,0
"COBYFLEENER","TE","Coby Fleener","IND",15,124,5.6,10,NA,0,0,0,0,0,0,5,56,0,0,0,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",36,127,5.5,1,NA,0,0,0,7,35,0,1,20,0,0,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",48,127,5.5,6,NA,0,0,0,0,0,0,6,55,0,0,0,0
"TERRANCEWEST","RB","Terrance West","CLE",37,129,5.4,0,NA,0,0,0,15,54,0,0,0,0,0,0,0
"ALBERTWILSON","WR","Albert Wilson","KC",49,130,5.3,8,NA,0,0,0,0,0,0,4,53,0,0,0,0
"GREGJENNINGS","WR","Greg Jennings","MIN",50,131,5.2,7,NA,0,0,0,0,0,0,5,52,0,0,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",50,131,5.2,7,NA,0,0,0,2,15,0,3,37,0,0,0,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",38,131,5.2,6,NA,0,0,0,5,38,0,4,14,0,0,0,0
"KENNYBRITT","WR","Kenny Britt","STL",50,131,5.2,5,NA,0,0,0,0,0,0,2,52,0,0,0,0
"ANDREWQUARLESS","TE","Andrew Quarless","GB",16,131,5.2,4,NA,0,0,0,0,0,0,3,52,0,0,0,0
"JAKELOCKER","QB","Jake Locker","TEN",30,136,5.04,0,NA,81,0,1,2,28,0,0,0,0,0,0,0
