"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"OWENDANIELS","TE","Owen Daniels","BAL",13,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",13,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,3,45,0,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",13,112,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4,45,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",34,119,4,NA,NA,NA,NA,NA,5,20,0,3,20,0,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",34,119,4,NA,NA,NA,NA,NA,6,25,0,2,15,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",34,119,4,NA,NA,NA,NA,NA,6,30,0,1,10,0,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ANDREROBERTS","WR","Andre Roberts","WAS",46,119,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"ALFREDBLUE","RB","Alfred Blue","HOU",37,128,3.5,NA,NA,NA,NA,NA,7,30,0,1,5,0,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",37,128,3.5,NA,NA,NA,NA,NA,12,35,0,0,0,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",37,128,3.5,NA,NA,NA,NA,NA,5,20,0,2,15,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",37,128,3.5,NA,NA,NA,NA,NA,8,35,0,0,0,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2,35,0,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"DENARIUSMOORE","WR","Denarius Moore","OAK",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,2,35,0,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",52,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",16,128,3.5,NA,NA,NA,NA,NA,NA,NA,NA,3,35,0,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",41,139,3,NA,NA,NA,NA,NA,7,30,0,0,0,0,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",41,139,3,NA,NA,NA,NA,NA,4,15,0,2,15,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",41,139,3,NA,NA,NA,NA,NA,8,30,0,0,0,0,NA,NA,NA
"JAMESSTARKS","RB","James Starks","GB",41,139,3,NA,NA,NA,NA,NA,5,20,0,1,10,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",58,139,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"DEVINHESTER","WR","Devin Hester","ATL",58,139,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",58,139,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",17,139,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","KC",17,139,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",17,139,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"MYCHALRIVERA","TE","Mychal Rivera","OAK",17,139,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"LEVINETOILOLO","TE","Levine Toilolo","ATL",17,139,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",45,151,2.5,NA,NA,NA,NA,NA,6,25,0,0,0,0,NA,NA,NA
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",45,151,2.5,NA,NA,NA,NA,NA,5,20,0,1,5,0,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",45,151,2.5,NA,NA,NA,NA,NA,5,20,0,1,5,0,NA,NA,NA
"DAVANTEADAMS","WR","Davante Adams","GB",61,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"COLEBEASLEY","WR","Cole Beasley","DAL",61,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"PHILLYBROWN","WR","Philly Brown","CAR",61,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"JACOBYJONES","WR","Jacoby Jones","BAL",61,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"JARVISLANDRY","WR","Jarvis Landry","MIA",61,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"JACEAMARO","TE","Jace Amaro","NYJ",22,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"SCOTTCHANDLER","TE","Scott Chandler","BUF",22,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"ERICEBRON","TE","Eric Ebron","DET",22,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",22,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"ANDREWQUARLESS","TE","Andrew Quarless","GB",22,151,2.5,NA,NA,NA,NA,NA,NA,NA,NA,2,25,0,NA,NA,NA
"BRANDENOLIVER","RB","Branden Oliver","SD",48,164,2,NA,NA,NA,NA,NA,4,15,0,1,5,0,NA,NA,NA
"BRANDONGIBSON","WR","Brandon Gibson","MIA",66,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",66,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",66,164,2,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,NA,NA,NA
"JARIUSWRIGHT","WR","Jarius Wright","MIN",66,164,2,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",27,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"RHETTELLISON","TE","Rhett Ellison","MIN",27,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",27,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"CLAYHARBOR","TE","Clay Harbor","JAC",27,164,2,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",49,173,1.5,NA,NA,NA,NA,NA,3,10,0,1,5,0,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",70,173,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,15,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",71,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",31,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"JOSEPHFAURIA","TE","Joseph Fauria","DET",31,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"LOGANPAULSEN","TE","Logan Paulsen","WAS",31,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",31,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"RICHARDRODGERS","TE","Richard Rodgers","GB",31,175,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,NA,NA,NA
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",50,181,0.5,NA,NA,NA,NA,NA,1,5,0,0,0,0,NA,NA,NA
NA,"QB",NA,NA,26,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","QB","layer
		Sort First: 
        
		
          
		Last:","Team",27,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"WR",NA,NA,72,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","WR","layer
		Sort First: 
        
		
          
		Last:","Team",73,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TE",NA,NA,36,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAYER
		SORTFIRST

		
  
		LAST","TE","layer
		Sort First: 
        
		
          
		Last:","Team",37,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
