"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,68,1,NA,NA,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,67,0,NA,NA,0
"RODDYWHITE","WR","Roddy White","ATL",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,66,0,NA,NA,0
"MIKEWALLACE","WR","Mike Wallace","MIA",0,0,0,NA,NA,NA,NA,NA,1,3,0,6,66,1,NA,NA,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,65,1,NA,NA,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,65,1,NA,NA,0
"KEENANALLEN","WR","Keenan Allen","SD",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,65,0,NA,NA,0
"GOLDENTATE","WR","Golden Tate","DET",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,64,1,NA,NA,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",0,0,0,NA,NA,NA,NA,NA,0,0,0,4,64,1,NA,NA,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,64,1,NA,NA,0
"DOUGBALDWIN","WR","Doug Baldwin","SEA",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,63,1,NA,NA,0
"MICHAELCRABTREE","WR","Michael Crabtree","SF",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,63,1,NA,NA,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,63,0,NA,NA,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,63,1,NA,NA,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,62,1,NA,NA,0
"JULIANEDELMAN","WR","Julian Edelman","NE",0,0,0,NA,NA,NA,NA,NA,1,3,0,6,62,0,NA,NA,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",0,0,0,NA,NA,NA,NA,NA,0,0,0,4,61,0,NA,NA,0
