"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AUSTINDAVIS","QB","Austin Davis","STL",18,18,20,32,20,240,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","NYG",1,19,19.5,NA,NA,NA,NA,NA,28,110,1,4,25,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",19,20,19.3,30,19,225,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",2,21,18.5,NA,NA,NA,NA,NA,24,105,1,2,20,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",20,22,18.3,34,20,235,1,0,6,25,0,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",21,23,18,34,21,240,1,0,3,20,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",3,23,18,NA,NA,NA,NA,NA,23,95,1,4,25,0,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",22,25,17.8,31,21,245,1,1,2,15,0,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",22,25,17.8,32,19,225,1,1,5,25,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",4,27,17,NA,NA,NA,NA,NA,18,80,1,4,30,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,27,17,NA,NA,NA,NA,NA,NA,NA,NA,9,110,1,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",1,27,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",24,30,16.8,35,22,235,1,0,5,10,0,NA,NA,NA,NA,NA,NA
"CHRISTIANPONDER","QB","Christian Ponder","MIN",24,30,16.8,32,19,215,1,2,5,20,0,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",5,32,16.5,NA,NA,NA,NA,NA,18,75,1,4,30,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",26,33,16,35,20,230,1,1,4,5,0,NA,NA,NA,NA,NA,NA
"MIKEGLENNON","QB","Mike Glennon","TB",26,33,16,32,19,220,1,1,3,10,0,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",6,33,16,NA,NA,NA,NA,NA,18,70,1,4,30,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",6,33,16,NA,NA,NA,NA,NA,20,80,1,3,20,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",6,33,16,NA,NA,NA,NA,NA,18,80,1,3,20,0,NA,NA,NA
"ZACSTACY","RB","Zac Stacy","STL",6,33,16,NA,NA,NA,NA,NA,20,80,1,3,20,0,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",28,39,15.8,32,20,235,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",29,40,15.5,32,20,230,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","DET",10,40,15.5,NA,NA,NA,NA,NA,16,65,1,4,30,0,NA,NA,NA
"ANDREELLINGTON","RB","Andre Ellington","ARI",10,40,15.5,NA,NA,NA,NA,NA,20,75,1,2,20,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",3,40,15.5,NA,NA,NA,NA,NA,NA,NA,NA,7,95,1,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",12,44,15,NA,NA,NA,NA,NA,16,65,1,3,25,0,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",12,44,15,NA,NA,NA,NA,NA,19,80,1,1,10,0,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",4,46,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,46,14.5,NA,NA,NA,NA,NA,NA,NA,NA,7,85,1,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",14,48,14,NA,NA,NA,NA,NA,16,70,1,1,10,0,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,5,80,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",5,48,14,NA,NA,NA,NA,NA,NA,NA,NA,7,80,1,NA,NA,NA
"CHRISIVORY","RB","Chris Ivory","NYJ",15,56,13.5,NA,NA,NA,NA,NA,15,65,1,1,10,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",15,56,13.5,NA,NA,NA,NA,NA,19,75,1,0,0,0,NA,NA,NA
"KHIRYROBINSON","RB","Khiry Robinson","NO",15,56,13.5,NA,NA,NA,NA,NA,19,65,1,1,10,0,NA,NA,NA
"KEENANALLEN","WR","Keenan Allen","SD",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
