"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DAVANTEADAMS","Davante Adams","WR","GB",42,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,68,17,0,NA,0,6
"KENDALLWRIGHT","Kendall Wright","WR","TEN",42,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,60,10,0,NA,0,6
"MILESAUSTIN","Miles Austin","WR","CLE",42,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,62,15.5,0,NA,0,6
"COBYFLEENER","Coby Fleener","TE","IND",11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,68,17,0,NA,0,6
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,67,16.8,0,NA,0,6
"CHARLESCLAY","Charles Clay","TE","MIA",11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,60,10,0,NA,0,6
"LARRYDONNELL","Larry Donnell","TE","NYG",11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,4.5,1,NA,0,6
"LANCEKENDRICKS","Lance Kendricks","TE","STL",11,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,6
"TRENTRICHARDSON","Trent Richardson","RB","IND",30,117,NA,NA,NA,NA,NA,NA,NA,11,50,4.5,0,1,4,4,0,NA,0,5
"JONASGRAY","Jonas Gray","RB","NE",30,117,NA,NA,NA,NA,NA,NA,NA,13,51,3.9,0,0,0,0,0,NA,0,5
"JOIQUEBELL","Joique Bell","RB","DET",30,117,NA,NA,NA,NA,NA,NA,NA,14,48,3.4,0,2,15,7.5,0,NA,0,5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",30,117,NA,NA,NA,NA,NA,NA,NA,13,48,3.7,0,2,18,9,0,NA,0,5
"TREMASON","Tre Mason","RB","STL",30,117,NA,NA,NA,NA,NA,NA,NA,13,35,2.7,0,4,26,6.5,0,NA,0,5
