"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",43,113,9.36,7,NA,0,0,0,0,0,0,4.4,51,0.3,0,0,0
"CJSPILLER","RB","C.J. Spiller","NO",30,114,9.29,3.8,NA,0,0,0,5,22.2,0.1,3.3,29.9,0.2,0.2,0,0.1
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",31,115,9.15,2.8,NA,0,0,0,8.8,38.9,0.3,2.3,17.5,0.1,0,0,0.1
"JAMESWHITE","RB","James White","NE",32,116,9.1,3.6,NA,0,0,0,6.9,26,0.2,2.9,26.9,0.2,0,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",44,117,9.09,6.4,NA,0,0,0,0.3,1.7,0,3.8,49.8,0.4,0,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",45,118,9.08,5,NA,0,0,0,0,0,0,3,52.2,0.4,0,0,0
"NATEWASHINGTON","WR","Nate Washington","HOU",46,119,9.05,6,NA,0,0,0,0,0,0,3.4,50,0.4,0,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",33,120,9.03,5.5,NA,0,0,0,5.4,22.1,0.1,4.3,34,0.1,0,0,0.1
"TRAVISKELCE","TE","Travis Kelce","KC",10,121,8.92,6.4,NA,0,0,0,0,0,0,4.4,46.2,0.4,0,0,0.1
"HEATHMILLER","TE","Heath Miller","PIT",11,122,8.74,6.2,NA,0,0,0,0,0,0,4.5,49.4,0.3,0,0,0.1
"FREDJACKSON","RB","Fred Jackson","SEA",34,123,8.69,2.9,NA,0,0,0,6.8,30.7,0.2,2.3,18,0.2,0,0,0.1
"DONTRELLEINMAN","WR","Dontrelle Inman","SD",47,123,8.69,5.4,NA,0,0,0,0,0,0,3.5,51.7,0.3,0,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",48,125,8.64,6.2,NA,0,0,0,0,0,0,3.9,50.2,0.3,0,0,0
"RYANMATHEWS","RB","Ryan Mathews","PHI",35,126,8.52,2.1,NA,0,0,0,10.3,48.4,0.2,1.7,12.3,0.1,0,0,0.1
"ZACHERTZ","TE","Zach Ertz","PHI",12,127,8.51,5.7,NA,0,0,0,0,0,0,3.7,47.3,0.3,0,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",13,128,8.46,5.4,NA,0,0,0,0,0,0,3.7,41.5,0.4,0,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","RIA",14,129,8.39,5.6,NA,0,0,0,0,0,0,3.8,48.5,0.3,0,0,0
"CECILSHORTS","WR","Cecil Shorts III","HOU",49,130,8.25,5.3,NA,0,0,0,1.9,11.2,0,2.9,36.3,0.3,0.1,0,0.1
"MARKUSWHEATON","WR","Markus Wheaton","PIT",50,131,8.23,5.5,NA,0,0,0,0,0,0,3.3,51,0.2,0,0,0
"STEFONDIGGS","WR","Stefon Diggs","MIN",51,132,8.2,6.1,NA,0,0,0,0.3,1.8,0,3.8,50.1,0.2,0,0,0
"CHARLESSIMS","RB","Charles Sims","TB",36,132,8.2,3.7,NA,0,0,0,6.7,29.5,0.1,3,27.4,0.1,0,0,0.1
"DORIALGREENBECKHAM","WR","Dorial Green-Beckham","REE",52,134,8.18,6.9,NA,0,0,0,0,0,0,3.6,49.4,0.2,0,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",53,135,8.12,4,NA,0,0,0,0,0,0,2.7,38.9,0.5,0,0,0
"AMEERABDULLAH","RB","Ameer Abdullah","DET",37,136,8.1,1.9,NA,0,0,0,10.2,47.2,0.1,1.5,12.9,0.1,0,0,0.1
"ZACHMILLER","TE","Zach Miller","CHI",15,137,8.05,6,NA,0,0,0,0,0,0,4,45,0.3,0,0,0
"LADARIUSGREEN","TE","Ladarius Green","SD",16,138,8,4.9,NA,0,0,0,0,0,0,3.5,42.7,0.3,0,0,0
"SETHROBERTS","WR","Seth Roberts","OAK",54,139,7.96,4.7,NA,0,0,0,0,0,0,2.9,41,0.4,0,0,0
