"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"145","Doug Baldwin","WR62","9","144","154","148.5","4.6","DOUGBALDWIN"
"146","Jacob Tamme","TE17","10","87","164","133.3","33.3","JACOBTAMME"
"147","James White","RB51","4","99","157","134.7","25.5","JAMESWHITE"
"148","Zach Ertz","TE18","8","133","168","152.0","13.3","ZACHERTZ"
"149","Tavon Austin","WR63","6","103","222","144.3","55.0","TAVONAUSTIN"
"150","Josh Huff","WR64","8","106","106","106.0","0.0","JOSHHUFF"
"151","Devin Funchess","WR65","5","125","171","154.3","17.5","DEVINFUNCHESS"
"152","Jay Ajayi","RB52","5","139","162","156.0","9.8","JAYAJAYI"
"153","Bilal Powell","RB53","5","99","124","111.5","12.5","BILALPOWELL"
"154","Marquess Wilson","WR66","7","143","169","156.8","12.3","MARQUESSWILSON"
"155","Dwayne Harris","WR67","11","140","146","142.3","2.6","DWAYNEHARRIS"
"156","Devante Parker","WR68","5","137","175","157.5","14.4","DEVANTEPARKER"
"157","Carlos Hyde","RB54","10","101","184","145.3","34.1","CARLOSHYDE"
"158","Brian Quick","WR69","6","131","174","147.0","19.2","BRIANQUICK"
"159","Charles Johnson","WR70","5","154","167","160.5","4.9","CHARLESJOHNSON"
"160","Alfred Morris","RB55","8","157","165","161.3","2.9","ALFREDMORRIS"
"161","Austin Seferian-Jenkins","TE19","6","142","190","161.8","19.0","AUSTINSEFERIANJENKINS"
"162","Kenny Stills","WR71","5","137","169","149.0","14.2","KENNYSTILLS"
"163","Jordan Cameron","TE20","5","133","224","168.3","33.8","JORDANCAMERON"
"164","Malcom Floyd","WR72","10","121","167","151.3","21.5","MALCOMFLOYD"
"165","Brandon Coleman","WR73","11","154","176","165.0","7.9","BRANDONCOLEMAN"
"166","Ladarius Green","TE21","10","149","223","171.3","30.5","LADARIUSGREEN"
"167","Cecil Shorts","WR74","9","127","192","155.0","27.3","CECILSHORTS"
"168","Jonathan Grimes","RB56","9","151","161","156.3","4.1","JONATHANGRIMES"
"169","Spencer Ware","RB57","9","138","139","138.5","0.5","SPENCERWARE"
"170","Orleans Darkwa","RB58","11","128","178","161.3","23.6","ORLEANSDARKWA"
"171","Crockett Gillmore","TE22","9","142","142","142.0","0.0","CROCKETTGILLMORE"
"172","Alex Smith","QB18","9","92","197","144.5","52.5","ALEXSMITH"
"173","Shaun Draughn","RB59","10","139","150","144.5","5.5","SHAUNDRAUGHN"
"174","Brian Hoyer","QB19","9","135","155","145.0","10.0","BRIANHOYER"
"175","Vernon Davis","TE23","7","156","168","164.0","5.7","VERNONDAVIS"
"176","Andrew Luck","QB20","10","92","208","150.0","58.0","ANDREWLUCK"
"177","Ryan Fitzpatrick","QB21","5","135","159","147.0","12.0","RYANFITZPATRICK"
