"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"161","Jay Ajayi","RB46","vs.  BAL","115","170","155.5","10.4","JAYAJAYI"
"162","Coby Fleener","TE20","at  PIT","121","178","150.9","13.3","COBYFLEENER"
"163","Bilal Powell","RB47","at  NYG","125","174","158.4","13.1","BILALPOWELL"
"164","Zach Ertz","TE21","at  NE","120","174","147.0","15.0","ZACHERTZ"
"165","Kenny Stills","WR66","vs.  BAL","118","174","156.7","10.5","KENNYSTILLS"
"166","Jerricho Cotchery","WR67","at  NO","125","173","162.2","9.8","JERRICHOCOTCHERY"
"167","Johnny Manziel","QB32","vs.  CIN","55","121","78.8","15.1","JOHNNYMANZIEL"
"168","Willie Snead","WR68","vs.  CAR","99","165","122.5","13.1","WILLIESNEAD"
"169","Tevin Coleman","RB48","at  TB","124","170","158.1","9.5","TEVINCOLEMAN"
"170","Torrey Smith","WR69","at  CHI","114","175","163.1","11.5","TORREYSMITH"
"171","Tyler Eifert","TE22","at  CLE","59","157","90.1","23.3","TYLEREIFERT"
"172","Zach Miller","TE23","vs.  SF","116","172","153.1","15.3","ZACHMILLER"
"173","Austin Seferian-Jenkins","TE24","vs.  ATL","103","170","149.9","14.5","AUSTINSEFERIANJENKINS"
"174","Andre Johnson","WR70","at  PIT","116","176","160.2","12.8","ANDREJOHNSON"
"175","Seth Roberts","WR71","vs.  KC","132","177","165.8","9.9","SETHROBERTS"
"176","Marqise Lee","WR72","at  TEN","94","176","156.2","20.2","MARQISELEE"
"177","Harry Douglas","WR73","vs.  JAC","130","176","166.0","9.3","HARRYDOUGLAS"
"178","Brent Celek","TE25","at  NE","115","176","160.2","13.0","BRENTCELEK"
"179","Mike Wallace","WR74","vs.  SEA","106","175","165.3","12.3","MIKEWALLACE"
"180","Cole Beasley","WR75","at  WAS","83","176","151.5","21.3","COLEBEASLEY"
"181","Daniel Herron","RB49","at  PIT","125","175","158.2","15.4","DANIELHERRON"
"182","Will Tye","TE26","vs.  NYJ","123","171","148.5","13.0","WILLTYE"
"183","Vernon Davis","TE27","at  SD","121","176","154.6","15.4","VERNONDAVIS"
"184","Jonathan Grimes","RB50","at  BUF","107","176","167.1","12.5","JONATHANGRIMES"
"185","Malcom Floyd","WR76","vs.  DEN","122","177","165.3","15.2","MALCOMFLOYD"
"186","C.J. Spiller","RB51","vs.  CAR","141","176","167.9","9.9","CJSPILLER"
"187","Luke Willson","TE28","at  MIN","117","176","156.4","16.7","LUKEWILLSON"
"188","Joique Bell","RB52","vs.  GB","116","172","155.0","12.4","JOIQUEBELL"
"189","Isaiah Crowell","RB53","vs.  CIN","120","175","155.0","12.5","ISAIAHCROWELL"
"190","Jordan Cameron","TE29","vs.  BAL","132","176","158.1","12.3","JORDANCAMERON"
"191","J.J. Nelson","WR77","at  STL","124","177","162.7","13.0","JJNELSON"
