"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"42","Ryan Tannehill","QB21","vs.  IND","20","85","41.9","7.1","RYANTANNEHILL"
"43","Denard Robinson","RB9","at  NO","10","94","42.0","14.3","DENARDROBINSON"
"44","Darren McFadden","RB10","at  BUF","24","153","46.2","17.9","DARRENMCFADDEN"
"45","Eric Decker","WR13","vs.  NE","24","106","48.1","11.8","ERICDECKER"
"46","James White","RB11","at  NYJ","11","129","45.2","27.1","JAMESWHITE"
"47","Danny Woodhead","RB12","at  OAK","12","129","50.1","23.4","DANNYWOODHEAD"
"48","Brandin Cooks","WR14","vs.  JAC","15","92","50.6","11.4","BRANDINCOOKS"
"49","Todd Gurley","RB13","at  SEA","9","90","51.8","12.7","TODDGURLEY"
"50","Lamar Miller","RB14","vs.  IND","23","135","53.2","16.7","LAMARMILLER"
"51","Jarvis Landry","WR15","vs.  IND","23","74","54.1","9.5","JARVISLANDRY"
"52","Greg Olsen","TE2","at  ATL","21","86","55.0","12.0","GREGOLSEN"
"53","Calvin Johnson","WR16","vs.  SF","18","107","55.9","16.7","CALVINJOHNSON"
"54","DeSean Jackson","WR17","at  PHI","23","94","56.7","14.9","DESEANJACKSON"
"55","Matt Ryan","QB22","vs.  CAR","22","105","48.4","9.3","MATTRYAN"
"56","Brock Osweiler","QB23","vs.  CIN","19","92","50.8","9.8","BROCKOSWEILER"
"57","Johnny Manziel","QB24","at  KC","25","95","50.5","9.1","JOHNNYMANZIEL"
"58","Tim Hightower","RB15","vs.  JAC","19","95","60.1","12.9","TIMHIGHTOWER"
"59","Jordan Reed","TE3","at  PHI","22","89","61.8","9.8","JORDANREED"
"60","Larry Fitzgerald","WR18","vs.  GB","41","108","65.6","10.2","LARRYFITZGERALD"
"61","Allen Hurns","WR19","at  NO","35","132","66.0","15.1","ALLENHURNS"
"62","Frank Gore","RB16","at  MIA","45","114","67.4","12.5","FRANKGORE"
"63","Karlos Williams","RB17","vs.  DAL","26","141","66.4","15.6","KARLOSWILLIAMS"
"64","Amari Cooper","WR20","vs.  SD","17","110","66.7","14.4","AMARICOOPER"
"65","Golden Tate","WR21","vs.  SF","50","89","68.8","8.0","GOLDENTATE"
"66","A.J. Green","WR22","at  DEN","28","125","70.1","15.7","AJGREEN"
"67","Michael Floyd","WR23","vs.  GB","39","119","71.9","14.1","MICHAELFLOYD"
"68","Christopher Ivory","RB18","vs.  NE","42","119","73.3","13.2","CHRISIVORY"
"69","Bilal Powell","RB19","vs.  NE","26","170","70.3","29.5","BILALPOWELL"
"70","Javorius Allen","RB20","vs.  PIT","19","122","74.6","19.9","JAVORIUSALLEN"
"71","Kamar Aiken","WR24","vs.  PIT","47","97","73.2","10.5","KAMARAIKEN"
"72","Julius Thomas","TE4","at  NO","50","110","75.7","11.3","JULIUSTHOMAS"
"73","Delanie Walker","TE5","vs.  HOU","24","104","75.9","10.9","DELANIEWALKER"
"74","Eddie Lacy","RB21","at  ARI","28","157","76.0","20.7","EDDIELACY"
"75","John Brown","WR25","vs.  GB","43","105","80.3","11.8","JOHNBROWN"
"76","Antonio Gates","TE6","at  OAK","42","92","80.4","7.8","ANTONIOGATES"
"77","Emmanuel Sanders","WR26","vs.  CIN","36","122","80.7","13.2","EMMANUELSANDERS"
"78","Randall Cobb","WR27","at  ARI","63","132","80.2","11.2","RANDALLCOBB"
"79","Michael Crabtree","WR28","vs.  SD","48","104","82.2","11.8","MICHAELCRABTREE"
"80","Ryan Mathews","RB22","vs.  WAS","46","134","82.8","15.8","RYANMATHEWS"
"81","Blaine Gabbert","QB25","at  DET","44","122","65.5","15.2","BLAINEGABBERT"
"82","Christine Michael","RB23","vs.  STL","50","123","81.8","13.0","CHRISTINEMICHAEL"
"83","T.Y. Hilton","WR29","at  MIA","47","151","84.4","14.1","TYHILTON"
"84","Dez Bryant","WR30","at  BUF","42","118","87.6","11.1","DEZBRYANT"
"85","Willie Snead","WR31","vs.  JAC","53","119","88.2","9.9","WILLIESNEAD"
