"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"ZACHERTZ","Zach Ertz","TE","PHI",0,0,0,0,0,77,1,0,0,0,13.7,"5","3","92%","0"
"GOLDENTATE","Golden Tate","WR","DET",0,0,0,4,0,93,0,0,0,0,9.7,"6","6","92%","1"
"DELANIEWALKER","Delanie Walker","TE","TEN",0,0,0,0,0,37,1,0,0,0,9.7,"4","3","49%","0"
"HEATHMILLER","Heath Miller","TE","PIT",0,0,0,0,0,26,0,0,0,0,2.6,"4","3","70%","0"
"MARKUSWHEATON","Markus Wheaton","WR","PIT",0,0,0,0,0,97,0,0,0,0,9.7,"7","6","63%","0"
"DARRENSPROLES","Darren Sproles","RB","PHI",0,0,0,71,1,14,0,0,0,0,14.5,"6","4","64%","11"
"KENNYBRITT","Kenny Britt","WR","STL",0,0,0,0,0,0,0,0,0,0,0,"3","0","27%","0"
"PIERRETHOMAS","Pierre Thomas","RB","NO",0,0,0,31,0,58,0,0,0,0,8.9,"7","6","79%","7"
"MIKEEVANS","Mike Evans","WR","TB",0,0,0,0,0,37,0,0,0,0,3.7,"9","5","82%","0"
"DANNYWOODHEAD","Danny Woodhead","RB","SD",0,0,0,5,0,6,0,0,0,0,1.1,"1","1","58%","6"
"MALCOMFLOYD","Malcom Floyd","WR","SD",0,0,0,0,0,50,1,0,0,0,11,"6","4","12%","0"
"CODYLATIMER","Cody Latimer","WR","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-","-","23%","-"
"MARQISELEE","Marqise Lee","WR","JAX",0,0,0,0,0,62,0,0,0,0,6.2,"10","6","14%","0"
"MARKINGRAM","Mark Ingram","RB","NO",0,0,0,60,2,1,0,0,0,0,18.1,"1","1","54%","13"
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",0,0,0,0,0,16,1,0,0,0,7.6,"4","2","95%","0"
"CHARLESCLAY","Charles Clay","TE","MIA",0,0,0,0,0,27,0,0,0,0,2.7,"6","2","77%","0"
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",0,0,0,0,0,35,0,0,0,0,3.5,"9","6","5%","0"
