"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"TRAVISBECKUM","Travis Beckum","TE","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CLARKHARRIS","Clark Harris","TE","CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JASONSCHEPLER","Jason Schepler","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANDREWSZCZERBA","Andrew Szczerba","TE","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TONYGONZALEZ","Tony Gonzalez","TE","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ZACHMILLER","Zach Miller","TE","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KELLENWINSLOW","Kellen Winslow","TE","NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TYLEROTT","Tyler Ott","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DALLASWALKER","Dallas Walker","TE","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CAMERONMORRAH","Cameron Morrah","TE","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"COLTLYERLA","Colt Lyerla","TE","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRANDONWILLIAMS","Brandon Williams","TE","CAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHASEFORD","Chase Ford","TE","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ACLEONARD","A.C. Leonard","TE","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RICHARDQUINN","Richard Quinn","TE","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRETTBRACKETT","Brett Brackett","TE","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JAMESONKONZ","Jameson Konz","TE","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"WESLYESAUNDERS","Weslye Saunders","TE","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANDRESMITH","Andre Smith","TE","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MATTFURSTENBURG","Matt Furstenburg","TE","BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JOHNPHILLIPS","John Phillips","TE","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ALLENREISNER","Allen Reisner","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DARRENFELLS","Darren Fells","TE","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRANDONHARTSON","Brandon Hartson","TE","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHRISPANTALE","Chris Pantale","TE","NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RICHARDGORDON","Richard Gordon","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JUSTICECUNNINGHAM","Justice Cunningham","TE","STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"STEVEMANERI","Steve Maneri","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JUSTINPERILLO","Justin Perillo","TE","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CLAYHARBOR","Clay Harbor","TE","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TONYSCHEFFLER","Tony Scheffler","TE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"NICKKASA","Nick Kasa","TE","OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"GARRETTCELEK","Garrett Celek","TE","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JERMICHAELFINLEY","Jermichael Finley","TE","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JERONMASTRUD","Jeron Mastrud","TE","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DAVEPAULSON","Dave Paulson","TE","SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"REGGIEJORDAN","Reggie Jordan","TE","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHASEDIXON","Chase Dixon","TE","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MICHAELWILLIAMS","Michael Williams","TE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CAMERONBRATE","Cameron Brate","TE","TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MIKECAUSSIN","Mike Caussin","TE","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCJEFFERSON","D.C. Jefferson","TE","CAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BEAUBRINKLEY","Beau Brinkley","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KELLENDAVIS","Kellen Davis","TE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MIKEMCNEILL","Mike McNeill","TE","CAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DALLASCLARK","Dallas Clark","TE","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JAKEMURPHY","Jake Murphy","TE","MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRYCEDAVIS","Bryce Davis","TE","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DAVIDWRIGHT","David Wright","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TEDBOLSER","Ted Bolser","TE","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AUSTINSEFE","Austin Sefe","TE","RIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"NICJACOBS","Nic Jacobs","TE","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TOMCRABTREE","Tom Crabtree","TE","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ARTHURLYNCH","Arthur Lynch","TE","MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TONYMOEAKI","Tony Moeaki","TE","BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BENHARTSOCK","Ben Hartsock","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"PHILLIPSUPERNAW","Phillip Supernaw","TE","BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHASECOFFMAN","Chase Coffman","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JAKEBALLARD","Jake Ballard","TE","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ASAWATSON","Asa Watson","TE","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ZACHPOTTER","Zach Potter","TE","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KEAVONMILTON","Keavon Milton","TE","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JORDANNAJVAR","Jordan Najvar","TE","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JORDANREED","Jordan Reed","TE","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JACOBPEDERSEN","Jacob Pedersen","TE","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRIANWOZNIAK","Brian Wozniak","TE","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANDREWDEPAOLA","Andrew DePaola","TE","TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SCOTTSIMONSON","Scott Simonson","TE","OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ADAMSCHILTZ","Adam Schiltz","TE","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHRISCOYLE","Chris Coyle","TE","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MARTELLWEBB","Martell Webb","TE","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KEVINBROCK","Kevin Brock","TE","CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MARCELJENSEN","Marcel Jensen","TE","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"NATEBYHAM","Nate Byham","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TYLERBECK","Tyler Beck","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DJWILLIAMS","D.J. Williams","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JOELDREESSEN","Joel Dreessen","TE","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JERONHAMM","Je'Ron Hamm","TE","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RASHAUNALLEN","RaShaun Allen","TE","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANDREHARDY","Andre Hardy","TE","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DORINDICKERSON","Dorin Dickerson","TE","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MICHAELEGNEW","Michael Egnew","TE","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANTHONYDENHAM","Anthony Denham","TE","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DANNYAMENDOLA","Danny Amendola","WR","NE",0,0,0,0,0,0,1,0,0,0,0
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",0,0,0,3,8,0,1,0,0,0,0.8
"ROBHOUSLER","Rob Housler","TE","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LANCEKENDRICKS","Lance Kendricks","TE","STL",0,0,0,0,0,0,4,3,25,0,2.5
"TERRENCEMILLER","Terrence Miller","TE","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MORRELLPRESLEY","Morrell Presley","TE","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RAYMONDWEBBER","Raymond Webber","TE","MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"EMILIGWENAGU","Emil Igwenagu","TE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ORSONCHARLES","Orson Charles","TE","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRADSMELLEY","Brad Smelley","TE","STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JASONAVANT","Jason Avant","WR","CAR",0,0,0,0,0,0,7,5,54,1,11.4
"KENNYBRITT","Kenny Britt","WR","STL",0,0,0,1,12,0,1,1,17,0,2.9
"WILSONVANHOOSER","Wilson Van Hooser","WR","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MICHEALSPURLOCK","Micheal Spurlock","WR","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JAVONELAWSON","Javone Lawson","WR","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHADBUMPHIS","Chad Bumphis","WR","JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"PRESTONPARKER","Preston Parker","WR","NYG",0,0,0,0,0,0,2,1,29,0,2.9
"CODYWILSON","Cody Wilson","WR","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JORDANHARRIS","Jordan Harris","WR","STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"RAHSAANVAUGHN","Rahsaan Vaughn","WR","OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MYLESWHITE","Myles White","WR","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CHANDLERJONES","Chandler Jones","WR","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ANTHONYARMSTRONG","Anthony Armstrong","WR","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KRISDURHAM","Kris Durham","WR","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
