"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"DARRENSPROLES","RB","Darren Sproles","PHI",17,88,5,NA,NA,NA,NA,NA,5,20,0,5,30,0,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",17,88,5,NA,NA,NA,NA,NA,4,20,0,4,30,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",38,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",11,88,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",11,88,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",21,101,4,NA,NA,NA,NA,NA,8,30,0,1,10,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",21,101,4,NA,NA,NA,NA,NA,7,30,0,1,10,0,NA,NA,NA
