"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"LUKEWILLSON","Luke Willson","TE","SEA",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"ERICEBRON","Eric Ebron","TE","DET",15,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,9.5,1,NA,0,7
"ALFREDMORRIS","Alfred Morris","RB","WAS",36,130,NA,NA,NA,NA,NA,NA,NA,16,61,3.8,0,1,9,9,0,NA,0,6
"DARRENSPROLES","Darren Sproles","RB","PHI",36,130,NA,NA,NA,NA,NA,NA,NA,5,31,6.2,0,4,33,8.2,0,NA,0,6
"CHRISJOHNSON","Chris Johnson","RB","NYJ",36,130,NA,NA,NA,NA,NA,NA,NA,12,41,3.4,0,2,21,10.5,0,NA,0,6
"TRENTRICHARDSON","Trent Richardson","RB","IND",36,130,NA,NA,NA,NA,NA,NA,NA,14,48,3.4,0,3,27,9,0,NA,0,6
"ALLENHURNS","Allen Hurns","WR","JAC",45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,68,17,0,NA,0,6
"MARKUSWHEATON","Markus Wheaton","WR","PIT",45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,15.2,0,NA,0,6
"JOHNBROWN","John Brown","WR","ARI",45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,62,15.5,0,NA,0,6
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,67,16.8,0,NA,0,6
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",45,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,52,17.3,0,NA,0,6
"JACEAMARO","Jace Amaro","TE","NYJ",21,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,61,12.2,0,NA,0,6
"DARRINREAVES","Darrin Reaves","RB","CAR",40,140,NA,NA,NA,NA,NA,NA,NA,14,49,3.5,0,3,19,6.3,0,NA,0,5
"PIERRETHOMAS","Pierre Thomas","RB","NO",40,140,NA,NA,NA,NA,NA,NA,NA,5,22,4.4,0,4,32,8,0,NA,0,5
"ALFREDBLUE","Alfred Blue","RB","HOU",40,140,NA,NA,NA,NA,NA,NA,NA,11,47,4.3,0,2,15,7.5,0,NA,0,5
"TRAVARISCADET","Travaris Cadet","RB","NO",40,140,NA,NA,NA,NA,NA,NA,NA,2,11,5.5,0,5,46,9.2,0,NA,0,5
"DENARDROBINSON","Denard Robinson","RB","JAC",40,140,NA,NA,NA,NA,NA,NA,NA,11,49,4.5,0,3,19,6.3,0,NA,0,5
"STEVANRIDLEY","Stevan Ridley","RB","NE",40,140,NA,NA,NA,NA,NA,NA,NA,14,51,3.6,0,1,4,4,0,NA,0,5
