"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",69,157,4.1,NA,NA,0,0,0,NA,0,0,NA,41,0,NA,0,0
"JAREDCOOK","TE","Jared Cook","STL",20,157,4.1,NA,NA,0,0,0,NA,0,0,NA,41,0,NA,0,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",70,160,3.9,NA,NA,0,0,0,NA,0,0,NA,39,0,NA,0,0
"MARCELREECE","RB","Marcel Reece","OAK",43,161,3.8,NA,NA,0,0,0,NA,20,0,NA,18,0,NA,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",21,161,3.8,NA,NA,0,0,0,NA,0,0,NA,38,0,NA,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",44,163,3.7,NA,NA,0,0,0,NA,30,0,NA,7,0,NA,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",45,164,3.6,NA,NA,0,0,0,NA,24,0,NA,12,0,NA,0,0
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",45,164,3.6,NA,NA,0,0,0,NA,2,0,NA,34,0,NA,0,0
"DANNYAMENDOLA","WR","Danny Amendola","NE",71,164,3.6,NA,NA,0,0,0,NA,0,0,NA,36,0,NA,0,0
"BRANDENOLIVER","RB","Branden Oliver","SD",47,167,3.5,NA,NA,0,0,0,NA,32,0,NA,3,0,NA,0,0
"JORDANTODMAN","RB","Jordan Todman","JAX",48,168,3.2,NA,NA,0,0,0,NA,24,0,NA,8,0,NA,0,0
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",72,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",72,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"GREGJENNINGS","WR","Greg Jennings","MIN",72,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",22,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
