"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JOIQUEBELL","RB","Joique Bell","DET",28,108,7,NA,NA,NA,NA,NA,10,40,0,4,30,0,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",28,108,7,NA,NA,NA,NA,NA,11,50,0,3,20,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",28,108,7,NA,NA,NA,NA,NA,18,70,0,0,0,0,NA,NA,NA
"BERNARDPIERCE","RB","Bernard Pierce","BAL",28,108,7,NA,NA,NA,NA,NA,15,60,0,1,10,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",28,108,7,NA,NA,NA,NA,NA,14,50,0,3,20,0,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",36,108,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",36,108,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",36,108,7,NA,NA,NA,NA,NA,NA,NA,NA,6,70,0,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",36,108,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"JONATHANDWYER","RB","Jonathan Dwyer","ARI",33,117,6,NA,NA,NA,NA,NA,10,50,0,1,10,0,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",33,117,6,NA,NA,NA,NA,NA,13,50,0,1,10,0,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",33,117,6,NA,NA,NA,NA,NA,14,50,0,1,10,0,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"MARQISELEE","WR","Marqise Lee","JAC",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,5,60,0,NA,NA,NA
"MARKUSWHEATON","WR","Markus Wheaton","PIT",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",40,117,6,NA,NA,NA,NA,NA,NA,NA,NA,4,60,0,NA,NA,NA
