"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",0,0,0,NA,NA,NA,NA,NA,0,0,0,1,2,0,NA,NA,0
"DUJUANHARRIS","RB","DuJuan Harris","GB",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",0,0,0,NA,NA,NA,NA,NA,3,0,0,0,0,0,NA,NA,0
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",0,0,0,NA,NA,NA,NA,NA,1,0,0,1,2,0,NA,NA,0
"JACKIEBATTLE","RB","Jackie Battle","TEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"TREYWATTS","RB","Trey Watts","STL",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"JEDCOLLINS","RB","Jed Collins","DET",0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",0,0,0,NA,NA,NA,NA,NA,1,2,0,8,106,1,NA,NA,0
"JULIOJONES","WR","Julio Jones","ATL",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,102,1,NA,NA,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",0,0,0,NA,NA,NA,NA,NA,1,3,0,8,101,1,NA,NA,0
"JORDYNELSON","WR","Jordy Nelson","GB",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,99,1,NA,NA,0
"DESEANJACKSON","WR","DeSean Jackson","WAS",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,94,1,NA,NA,0
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",0,0,0,NA,NA,NA,NA,NA,0,0,0,7,94,1,NA,NA,0
"DEZBRYANT","WR","Dez Bryant","DAL",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,94,1,NA,NA,0
"CALVINJOHNSON","WR","Calvin Johnson","DET",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,93,1,NA,NA,0
"MIKEEVANS","WR","Mike Evans","TB",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,86,1,NA,NA,0
"TYHILTON","WR","T.Y. Hilton","IND",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,84,1,NA,NA,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",0,0,0,NA,NA,NA,NA,NA,1,3,0,7,84,1,NA,NA,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,83,0,NA,NA,0
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",0,0,0,NA,NA,NA,NA,NA,1,2,0,6,83,1,NA,NA,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,78,1,NA,NA,0
"RANDALLCOBB","WR","Randall Cobb","GB",0,0,0,NA,NA,NA,NA,NA,1,2,0,7,78,1,NA,NA,0
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",0,0,0,NA,NA,NA,NA,NA,0,0,0,6,78,1,NA,NA,0
"AJGREEN","WR","A.J. Green","CIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,77,1,NA,NA,0
"GOLDENTATE","WR","Golden Tate","DET",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,72,0,NA,NA,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,71,1,NA,NA,0
"KENNYSTILLS","WR","Kenny Stills","NO",0,0,0,NA,NA,NA,NA,NA,0,0,0,5,71,0,NA,NA,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",0,0,0,NA,NA,NA,NA,NA,0,0,0,4,70,0,NA,NA,0
