"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"HEATHMILLER","TE","Heath Miller","PIT",18,130,5.3,NA,NA,0,0,0,NA,0,0,NA,53,0,NA,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",45,133,5.1,NA,NA,0,0,0,NA,7,0,NA,44,0,NA,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",41,134,5,NA,NA,0,0,0,NA,42,0,NA,8,0,NA,0,0
"ISAIAHCROWELL","RB","Isaiah Crowell","CLE",41,134,5,NA,NA,0,0,0,NA,42,0,NA,8,0,NA,0,0
"SHANEVEREEN","RB","Shane Vereen","NYG",41,134,5,NA,NA,0,0,0,NA,24,0,NA,26,0,NA,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","OAK",46,134,5,NA,NA,0,0,0,NA,0,0,NA,50,0,NA,0,0
"MARVINJONES","WR","Marvin Jones","CIN",47,138,4.8,NA,NA,0,0,0,NA,0,0,NA,48,0,NA,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",47,138,4.8,NA,NA,0,0,0,NA,2,0,NA,46,0,NA,0,0
"JEREMYBUTLER","WR","Jeremy Butler","BAL",49,140,4.7,NA,NA,0,0,0,NA,0,0,NA,47,0,NA,0,0
"TEDGINN","WR","Ted Ginn","CAR",49,140,4.7,NA,NA,0,0,0,NA,0,0,NA,47,0,NA,0,0
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","PIT",51,142,4.6,NA,NA,0,0,0,NA,0,0,NA,46,0,NA,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",51,142,4.6,NA,NA,0,0,0,NA,0,0,NA,46,0,NA,0,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",53,144,4.5,NA,NA,0,0,0,NA,1,0,NA,44,0,NA,0,0
"TAVONAUSTIN","WR","Tavon Austin","STL",54,145,4.4,NA,NA,0,0,0,NA,19,0,NA,25,0,NA,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",54,145,4.4,NA,NA,0,0,0,NA,3,0,NA,41,0,NA,0,0
"JACOBTAMME","TE","Jacob Tamme","ATL",20,145,4.4,NA,NA,0,0,0,NA,0,0,NA,44,0,NA,0,0
"BILALPOWELL","RB","Bilal Powell","NYJ",44,148,4.3,NA,NA,0,0,0,NA,27,0,NA,16,0,NA,0,0
"CHRISGIVENS","WR","Chris Givens","BAL",56,148,4.3,NA,NA,0,0,0,NA,0,0,NA,43,0,NA,0,0
"THEORIDDICK","RB","Theo Riddick","DET",45,150,4.2,NA,NA,0,0,0,NA,25,0,NA,17,0,NA,0,0
"HARRYDOUGLAS","WR","Harry Douglas","TEN",57,150,4.2,NA,NA,0,0,0,NA,0,0,NA,42,0,NA,0,0
"JOHNBROWN","WR","John Brown","ARI",58,152,4.1,NA,NA,0,0,0,NA,0,0,NA,41,0,NA,0,0
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",58,152,4.1,NA,NA,0,0,0,NA,2,0,NA,39,0,NA,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",58,152,4.1,NA,NA,0,0,0,NA,11,0,NA,30,0,NA,0,0
"MICHAELFLOYD","WR","Michael Floyd","ARI",61,155,3.8,NA,NA,0,0,0,NA,0,0,NA,38,0,NA,0,0
"GREGJENNINGS","WR","Greg Jennings","MIA",62,156,3.7,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"JAELENSTRONG","WR","Jaelen Strong","HOU",62,156,3.7,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"CLAYHARBOR","TE","Clay Harbor","JAC",21,156,3.7,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",46,159,3.6,NA,NA,0,0,0,NA,27,0,NA,9,0,NA,0,0
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",46,159,3.6,NA,NA,0,0,0,NA,22,0,NA,14,0,NA,0,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",22,159,3.6,NA,NA,0,0,0,NA,0,0,NA,36,0,NA,0,0
"KNILEDAVIS","RB","Knile Davis","KC",48,162,3.4,NA,NA,0,0,0,NA,26,0,NA,8,0,NA,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",48,162,3.4,NA,NA,0,0,0,NA,20,0,NA,14,0,NA,0,0
"COREYBROWN","WR","Corey Brown","CAR",64,162,3.4,NA,NA,0,0,0,NA,4,0,NA,30,0,NA,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",64,162,3.4,NA,NA,0,0,0,NA,1,0,NA,33,0,NA,0,0
