"name","pos","name_fox","team_fox","positionRank_fox","overallRank_fox","pts_fox","passAtt_fox","passComp_fox","passYds_fox","passTds_fox","passInt_fox","rushAtt_fox","rushYds_fox","rushTds_fox","rec_fox","recYds_fox","recTds_fox","returnTds_fox","twoPts_fox","fumbles_fox"
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",28,193,3.5,NA,NA,NA,NA,NA,0,0,0,2.6,28.4,0.1,NA,0,0
"GARRETTGRAHAM","TE","Garrett Graham","HOU",28,193,3.5,NA,NA,NA,NA,NA,0,0,0,2.7,27.2,0.1,NA,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",50,197,3.4,NA,NA,NA,NA,NA,5.7,20.8,0.2,0.3,1.6,0,NA,0,0.1
"CHRISJOHNSON","RB","Chris Johnson","NYJ",50,197,3.4,NA,NA,NA,NA,NA,6.2,20.8,0.2,0.7,5.2,0,NA,0,0.1
"COLEBEASLEY","WR","Cole Beasley","DAL",89,197,3.4,NA,NA,NA,NA,NA,0,0,0,2.4,26.6,0.1,NA,0,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",52,200,3.3,NA,NA,NA,NA,NA,5.9,16.5,0.1,1.3,8.5,0,NA,0,0.1
"PAULRICHARDSON","WR","Paul Richardson","SEA",90,200,3.3,NA,NA,NA,NA,NA,0,0,0,2.2,25.1,0.1,NA,0,0
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",90,200,3.3,NA,NA,NA,NA,NA,0,0,0,1.8,24.8,0.1,NA,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",53,203,3.2,NA,NA,NA,NA,NA,4.1,19.6,0.2,0.2,0.9,0,NA,0,0.1
"DAMARISJOHNSON","WR","Damaris Johnson","HOU",92,203,3.2,NA,NA,NA,NA,NA,0,0,0,1.6,23.4,0.1,NA,0,0
"CARLOSHYDE","RB","Carlos Hyde","SF",54,205,3.1,NA,NA,NA,NA,NA,4.5,15,0.2,0.8,5.7,0,NA,0,0.1
"LUKEWILLSON","TE","Luke Willson","SEA",30,205,3.1,NA,NA,NA,NA,NA,0,0,0,2,24.5,0.1,NA,0,0
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",55,207,3,NA,NA,NA,NA,NA,5.8,17.8,0.1,1.2,6.6,0.1,NA,0,0.2
"LANCEKENDRICKS","TE","Lance Kendricks","STL",31,207,3,NA,NA,NA,NA,NA,0,0,0,2.1,20.5,0.2,NA,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",31,207,3,NA,NA,NA,NA,NA,0,0,0,1.9,20.4,0.2,NA,0,0.1
"ANTHONYFASANO","TE","Anthony Fasano","KC",33,210,2.9,NA,NA,NA,NA,NA,0,0,0,1.9,19.3,0.2,NA,0,0
"JEREMYROSS","WR","Jeremy Ross","DET",93,211,2.8,NA,NA,NA,NA,NA,0,0,0,2.3,22.5,0.1,NA,0,0.1
"COREYWASHINGTON","WR","Corey Washington","NYG",93,211,2.8,NA,NA,NA,NA,NA,0,0,0,1.6,19.5,0.1,NA,0,0
"DEVINHESTER","WR","Devin Hester","ATL",93,211,2.8,NA,NA,NA,NA,NA,0,0,0,1.6,20.4,0.1,NA,0,0
"JACEAMARO","TE","Jace Amaro","NYJ",34,211,2.8,NA,NA,NA,NA,NA,0,0,0,2,22.2,0.1,NA,0,0
"TIMWRIGHT","TE","Tim Wright","NE",34,211,2.8,NA,NA,NA,NA,NA,0,0,0,1.6,18.3,0.2,NA,0,0
"BERNARDPIERCE","RB","Bernard Pierce","BAL",56,216,2.7,NA,NA,NA,NA,NA,4.7,14.9,0.1,0.8,4.3,0,NA,0,0.1
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","OAK",96,216,2.7,NA,NA,NA,NA,NA,0,0,0,1.6,21.7,0.1,NA,0,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",96,216,2.7,NA,NA,NA,NA,NA,0,0,0,1.4,18.5,0.1,NA,0,0
"HAKEEMNICKS","WR","Hakeem Nicks","IND",96,216,2.7,NA,NA,NA,NA,NA,0,0,0,1.6,19.6,0.1,NA,0,0
"ERICEBRON","TE","Eric Ebron","DET",36,216,2.7,NA,NA,NA,NA,NA,0,0,0,2.1,22,0.1,NA,0,0
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",36,216,2.7,NA,NA,NA,NA,NA,0,0,0,2,20.8,0.1,NA,0,0
"BRENTCELEK","TE","Brent Celek","PHI",36,216,2.7,NA,NA,NA,NA,NA,0,0,0,2.1,18.3,0.2,NA,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",57,223,2.6,NA,NA,NA,NA,NA,3.5,15.5,0.2,0.1,0.6,0,NA,0,0.1
"SILASREDD","RB","Silas Redd Jr.","WAS",57,223,2.6,NA,NA,NA,NA,NA,4.3,14.8,0.1,0.6,3.5,0,NA,0,0.1
"SHONNGREENE","RB","Shonn Greene","TEN",59,225,2.4,NA,NA,NA,NA,NA,4.6,17.8,0.1,0,0.1,0,NA,0,0.1
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",59,225,2.4,NA,NA,NA,NA,NA,4.8,13.5,0.1,0.9,6.9,0,NA,0,0.1
"TOBYGERHART","RB","Toby Gerhart","JAC",61,227,2.3,NA,NA,NA,NA,NA,4.6,15.4,0.1,0.4,3.3,0,NA,0,0.1
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",99,227,2.3,NA,NA,NA,NA,NA,0,0,0,0.9,13.8,0.2,NA,0,0
"BRICEBUTLER","WR","Brice Butler","OAK",99,227,2.3,NA,NA,NA,NA,NA,0,0,0,1.3,16.1,0.1,NA,0,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",62,230,2.1,NA,NA,NA,NA,NA,3.4,10,0.1,0.9,6.8,0,NA,0,0.1
"CLAYHARBOR","TE","Clay Harbor","JAC",39,230,2.1,NA,NA,NA,NA,NA,0,0,0,1.5,14,0.1,NA,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",101,232,2,NA,NA,NA,NA,NA,0,0,0,1.1,13.5,0.1,NA,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",63,233,1.9,NA,NA,NA,NA,NA,2.4,8,0.1,0.6,3.1,0,NA,0,0.1
"DOUGMARTIN","RB","Doug Martin","TB",64,234,1.8,NA,NA,NA,NA,NA,3.6,10.9,0.1,0.4,4.1,0,NA,0,0.1
"CHRISPOLK","RB","Chris Polk","PHI",64,234,1.8,NA,NA,NA,NA,NA,2.3,10.6,0.1,0,0.2,0,NA,0,0
"MIKEWILLIAMS","WR","Mike Williams","BUF",102,234,1.8,NA,NA,NA,NA,NA,0,0,0,0.5,12.7,0.1,NA,0,0
"DEREKHAGAN","WR","Derek Hagan","TEN",103,237,1.7,NA,NA,NA,NA,NA,0,0,0,0.8,13,0.1,NA,0,0
"JARONBROWN","WR","Jaron Brown","ARI",103,237,1.7,NA,NA,NA,NA,NA,0,0,0,1.1,11.6,0.1,NA,0,0
"GREGLITTLE","WR","Greg Little","CIN",103,237,1.7,NA,NA,NA,NA,NA,0,0,0,0.9,11.3,0.1,NA,0,0
"DEREKCARRIER","TE","Derek Carrier","SF",40,237,1.7,NA,NA,NA,NA,NA,0,0,0,1.1,11.3,0.1,NA,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",106,241,1.6,NA,NA,NA,NA,NA,0,0,0,0.8,12.1,0.1,NA,0,0
"FRANKIEHAMMOND","WR","Frankie Hammond Jr.","KC",106,241,1.6,NA,NA,NA,NA,NA,0,0,0,0.8,11.1,0.1,NA,0,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",106,241,1.6,NA,NA,NA,NA,NA,0,0,0,1,11.5,0.1,NA,0,0
"ACESANDERS","WR","Ace Sanders","JAC",106,241,1.6,NA,NA,NA,NA,NA,0,0,0,1,12.1,0.1,NA,0,0
"LADARIUSGREEN","TE","Ladarius Green","SD",41,241,1.6,NA,NA,NA,NA,NA,0,0,0,0.9,9.3,0.1,NA,0,0
"DANIELFELLS","TE","Daniel Fells","NYG",41,241,1.6,NA,NA,NA,NA,NA,0,0,0,1,10.1,0.1,NA,0,0
"BRANDONMYERS","TE","Brandon Myers","TB",41,241,1.6,NA,NA,NA,NA,NA,0,0,0,1.1,10.9,0.1,NA,0,0
"ALDRICKROBINSON","WR","Aldrick Robinson","WAS",110,248,1.5,NA,NA,NA,NA,NA,0,0,0,0.5,10.1,0.1,NA,0,0
"MARCELREECE","RB","Marcel Reece","OAK",66,249,1.4,NA,NA,NA,NA,NA,1.4,6.2,0,0.4,4.4,0,NA,0,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",67,250,1.3,NA,NA,NA,NA,NA,1.8,6.8,0.1,0.1,0.6,0,NA,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",67,250,1.3,NA,NA,NA,NA,NA,2.4,7.3,0.1,0.3,2.1,0,NA,0,0.1
"ANDRECALDWELL","WR","Andre Caldwell","DEN",111,250,1.3,NA,NA,NA,NA,NA,0,0,0,0.6,9.2,0.1,NA,0,0
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",111,250,1.3,NA,NA,NA,NA,NA,0,0,0,0.7,9.5,0.1,NA,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",44,250,1.3,NA,NA,NA,NA,NA,0,0,0,0.7,9.6,0.1,NA,0,0
"CHASEFORD","TE","Chase Ford","MIN",44,250,1.3,NA,NA,NA,NA,NA,0,0,0,1,8.9,0.1,NA,0,0
"ROBHOUSLER","TE","Rob Housler","ARI",44,250,1.3,NA,NA,NA,NA,NA,0,0,0,0.8,8.3,0.1,NA,0,0
"BRYCEBROWN","RB","Bryce Brown","BUF",69,257,1.2,NA,NA,NA,NA,NA,1.7,5.1,0.1,0.4,2.5,0,NA,0,0
"JORDANTODMAN","RB","Jordan Todman","JAC",69,257,1.2,NA,NA,NA,NA,NA,1.7,6.8,0.1,0.2,1.4,0,NA,0,0.1
"GREGSALAS","WR","Greg Salas","NYJ",113,257,1.2,NA,NA,NA,NA,NA,0,0,0,0.5,8.1,0.1,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",113,257,1.2,NA,NA,NA,NA,NA,0,0,0,0.7,8.6,0.1,NA,0,0
"COREYFULLER","WR","Corey Fuller","DET",113,257,1.2,NA,NA,NA,NA,NA,0,0,0,0.6,7.6,0.1,NA,0,0
"JACOBTAMME","TE","Jacob Tamme","DEN",47,257,1.2,NA,NA,NA,NA,NA,0,0,0,1,9.9,0,NA,0,0
"KYLEJUSZCZYK","RB","Kyle Juszczyk","BAL",71,263,1.1,NA,NA,NA,NA,NA,0.2,0.1,0,1.4,8.9,0,NA,0,0
"BRUCEMILLER","RB","Bruce Miller","SF",71,263,1.1,NA,NA,NA,NA,NA,0.3,0.2,0,1.3,8.1,0,NA,0,0
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",116,263,1.1,NA,NA,NA,NA,NA,0,0,0,0.6,8.4,0.1,NA,0,0
"RYANGRANT","WR","Ryan Grant","WAS",116,263,1.1,NA,NA,NA,NA,NA,0,0,0,0.8,7.9,0.1,NA,0,0
"BRANDONLLOYD","WR","Brandon Lloyd","SF",116,263,1.1,NA,NA,NA,NA,NA,0,0,0,0.4,6.3,0.1,NA,0,0
"DIONSIMS","TE","Dion Sims","MIA",48,263,1.1,NA,NA,NA,NA,NA,0,0,0,0.8,7.6,0.1,NA,0,0
"RUSSELLSHEPARD","WR","Russell Shepard","TB",119,269,1,NA,NA,NA,NA,NA,0,0,0,0.6,7.5,0.1,NA,0,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",49,269,1,NA,NA,NA,NA,NA,0,0,0,0.8,8.2,0,NA,0,0
"DONALDBROWN","RB","Donald Brown","SD",73,271,0.9,NA,NA,NA,NA,NA,0.6,2.2,0,0.3,2.5,0,NA,0,0
"VINCENTBROWN","WR","Vincent Brown","OAK",120,271,0.9,NA,NA,NA,NA,NA,0,0,0,0.4,6.6,0.1,NA,0,0
"COOPERHELFET","TE","Cooper Helfet","SEA",50,271,0.9,NA,NA,NA,NA,NA,0,0,0,0.7,6.7,0,NA,0,0
"DAMIENWILLIAMS","RB","Damien Williams","MIA",74,274,0.8,NA,NA,NA,NA,NA,1.3,4.8,0,0.3,1.8,0,NA,0,0
"CHRISGIVENS","WR","Chris Givens","NO",121,274,0.8,NA,NA,NA,NA,NA,0,0,0,0.6,6.1,0,NA,0,0
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",75,276,0.7,NA,NA,NA,NA,NA,1.3,3.5,0,0.1,0.9,0,NA,0,0
"ANTHONYSHERMAN","RB","Anthony Sherman","KC",75,276,0.7,NA,NA,NA,NA,NA,0.2,0.1,0,0.8,4.8,0,NA,0,0
"SEYIAJIROTUTU","WR","Seyi Ajirotutu","SD",122,276,0.7,NA,NA,NA,NA,NA,0,0,0,0.4,5.5,0,NA,0,0
"JAMESDEVELIN","RB","James Develin","NE",77,279,0.6,NA,NA,NA,NA,NA,0.2,0.1,0,0.8,4.5,0,NA,0,0
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",123,279,0.6,NA,NA,NA,NA,NA,0,0,0,0.3,3.8,0,NA,0,0
"TEDGINN","WR","Ted Ginn Jr.","ARI",123,279,0.6,NA,NA,NA,NA,NA,0,0,0,0.2,4.2,0,NA,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",123,279,0.6,NA,NA,NA,NA,NA,0,0,0,0.3,3.6,0,NA,0,0
