"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"BRANDONTATE","WR","Brandon Tate","CIN",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JAREDABBREDERIS","WR","Jared Abbrederis","GB I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KRISADAMS","WR","Kris Adams",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"SEYIAJIROTUTU","WR","Seyi Ajirotutu","SD",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DANARIOALEXANDER","WR","Danario Alexander",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"ANTHONYARMSTRONG","WR","Anthony Armstrong",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DEVINAROMASHODU","WR","Devin Aromashodu",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DONNIEAVERY","WR","Donnie Avery","KC I",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"JONBALDWIN","WR","Jon Baldwin",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"RAMSESBARDEN","WR","Ramses Barden",NA,102,246,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",43,246,0,NA,NA,0,0,0,NA,0,0,NA,60,1,NA,0,0
"JORDANCAMERON","TE","Jordan Cameron","CLE",43,246,0,NA,NA,0,0,0,NA,0,0,NA,58,1,NA,0,0
"ANTHONYFASANO","TE","Anthony Fasano","KC I",43,246,0,NA,NA,0,0,0,NA,0,0,NA,22,0,NA,0,0
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",43,246,0,NA,NA,0,0,0,NA,0,0,NA,11,0,NA,0,0
"BRANDONBOSTICK","TE","Brandon Bostick","GB I",43,246,0,NA,NA,0,0,0,NA,0,0,NA,9,0,NA,0,0
"CRAIGSTEVENS","TE","Craig Stevens","TEN",43,246,0,NA,NA,0,0,0,NA,0,0,NA,9,0,NA,0,0
"LUKESTOCKER","TE","Luke Stocker","TB I",43,246,0,NA,NA,0,0,0,NA,0,0,NA,9,0,NA,0,0
"MARQUEISGRAY","TE","MarQueis Gray","MIN",43,246,0,NA,NA,0,0,0,NA,0,0,NA,8,0,NA,0,0
