"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"JOEFLACCO","QB","29-262","2014-10-05","BAL",TRUE,"IND","L 13-20",5,"Sun",5,2014,5,235,0,1,NA,NA,NA,NA,NA
"JOHNBROWN","WR","24-185","2014-10-05","ARI",TRUE,"DEN","L 20-41",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,2,4,0
"JOHNCARLSON","WR","30-146","2014-10-05","ARI",TRUE,"DEN","L 20-41",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,2,19,0
"JOHNKUHN","RB","32-023","2014-10-02","GNB",FALSE,"MIN","W 42-10",5,"Thu",5,2014,5,NA,NA,NA,6,0,1,3,0
"JONRYAN","RB","32-314","2014-10-06","SEA",TRUE,"WAS","W 27-17",5,"Mon",4,2014,5,NA,NA,NA,5,0,NA,NA,NA
"JORDANCAMERON","WR","26-059","2014-10-05","CLE",TRUE,"TEN","W 29-28",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,3,33,0
"JORDANMATTHEWS","WR","22-081","2014-10-05","PHI",FALSE,"STL","W 34-28",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,4,35,0
"JORDANTODMAN","WR","24-223","2014-10-05","JAX",FALSE,"PIT","L 9-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,2,23,0
"JORDYNELSON","WR","29-124","2014-10-02","GNB",FALSE,"MIN","W 42-10",5,"Thu",5,2014,5,NA,NA,NA,NA,NA,1,66,1
"JOSEPHRANDLE","RB","22-280","2014-10-05","DAL",FALSE,"HOU","W 20-17",5,"Sun",5,2014,5,NA,NA,NA,4,0,NA,NA,NA
"JOSHHILL","WR","24-137","2014-10-05","NOR",FALSE,"TAM","W 37-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,53,0
"JOSHHUFF","WR","22-356","2014-10-05","PHI",FALSE,"STL","W 34-28",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,4,0
"JULIANEDELMAN","WR","28-136","2014-10-05","NWE",FALSE,"CIN","W 43-17",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,5,35,0
"JULIOJONES","WR","25-244","2014-10-05","ATL",TRUE,"NYG","L 20-30",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,11,105,0
"JULIUSTHOMAS","WR","26-100","2014-10-05","DEN",FALSE,"ARI","W 41-20",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,6,66,2
"JUNIORHEMINGWAY","WR","25-282","2014-10-05","KAN",TRUE,"SFO","L 17-22",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,4,50,0
"JUSTINBROWN","WR","23-209","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,26,0
