"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",51,185,5.6,1.3,NA,0,0,0,7.2,28,0.2,1,7.9,0,0,0,0
"MATTJONES","RB","Matt Jones","WAS",52,187,5.57,2.5,NA,0,0,0,4.8,19.3,0.2,1.9,14.7,0.1,0,0,0
"DANNYAMENDOLA","WR","Danny Amendola","NE",78,187,5.57,4,NA,0,0,0,0,0,0,2.9,28.9,0.2,0,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",27,187,5.57,3.4,NA,0,0,0,0,0,0,2.3,26.4,0.3,0,0,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",79,190,5.56,4.8,NA,0,0,0,0.3,2,0,3,30.6,0.1,0,0,0
"LEONARDHANKERSON","WR","Leonard Hankerson","ATL",79,190,5.56,3.9,NA,0,0,0,0,0,0,2.6,32.4,0.2,0,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",81,192,5.51,4.5,NA,0,0,0,0,0,0,2.5,32.2,0.2,0,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",82,193,5.46,3.7,NA,0,0,0,0,0,0,2.4,31,0.2,0,0,0
"ANDREROBERTS","WR","Andre Roberts","WAS",83,194,5.44,3.8,NA,0,0,0,0.1,0.8,0,2.3,28.9,0.2,0.1,0,0
"KNILEDAVIS","RB","Knile Davis","KC",53,195,5.4,1.2,NA,0,0,0,5.5,23.2,0.2,0.9,6.9,0,0.1,0,0.1
"LANCEDUNBAR","RB","Lance Dunbar","DAL",54,196,5.22,2.9,NA,0,0,0,2.6,11.2,0.1,2.3,19.6,0.1,0,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",28,197,5.19,3.5,NA,0,0,0,0,0,0,2.3,25.3,0.3,0,0,0
"COREYBROWN","WR","Corey Brown","CAR",84,198,5.17,3.2,NA,0,0,0,0.6,3.9,0,1.9,27.7,0.2,0,0,0
"GREGJENNINGS","WR","Greg Jennings","MIA",85,199,4.91,3,NA,0,0,0,0,0,0,2,28,0.2,0,0,0
"DENARDROBINSON","RB","Denard Robinson","JAX",55,199,4.91,2.3,NA,0,0,0,4.1,17.1,0.1,1.8,12.7,0.1,0,0,0.1
"CHRISJOHNSON","RB","Chris Johnson","ARI",56,201,4.83,1,NA,0,0,0,6.2,27.5,0.1,0.8,6.8,0,0,0,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",29,202,4.79,3.2,NA,0,0,0,0,0,0,2.1,25.1,0.2,0,0,0
"JOSHHILL","TE","Josh Hill","NO",30,203,4.66,3.1,NA,0,0,0,0,0,0,2.1,21.9,0.2,0,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",30,203,4.66,3.7,NA,0,0,0,0,0,0,2.4,26.9,0.1,0,0,0
"MARQISELEE","WR","Marqise Lee","JAX",86,205,4.58,3.6,NA,0,0,0,0,0,0,2.2,25.4,0.2,0,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",57,206,4.5,2,NA,0,0,0,3,11.2,0.2,1.6,11.6,0.1,0,0,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",87,207,4.48,3.2,NA,0,0,0,0,0,0,2,25.7,0.2,0,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",58,208,4.46,2.7,NA,0,0,0,1.8,7.4,0,2.2,18.3,0.1,0,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",59,209,4.42,0.8,NA,0,0,0,7.1,25.1,0.2,0.6,4.5,0,0,0,0
"TEDGINN","WR","Ted Ginn Jr.","CAR",88,210,4.41,2.6,NA,0,0,0,0.3,1.9,0,1.5,21.3,0.1,0.1,0,0
"LOUISMURPHY","WR","Louis Murphy","TB",89,211,4.39,3.2,NA,0,0,0,0,0,0,1.7,25.1,0.2,0,0,0
"DARRENMCFADDEN","RB","Darren McFadden","DAL",60,212,4.32,1,NA,0,0,0,5.2,21.6,0.2,0.8,6.4,0,0,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",90,213,4.31,2.9,NA,0,0,0,0.6,3.8,0,1.8,19.6,0.2,0,0,0
"HARRYDOUGLAS","WR","Harry Douglas","TEN",90,213,4.31,3.5,NA,0,0,0,0,0,0,2.1,24.8,0.1,0,0,0
"DEANTHONYTHOMASKC","RB","De'Anthony Thomas KC","KC",61,215,4.27,2.7,NA,0,0,0,1,5.7,0,1.7,13.3,0.1,0.1,0,0
"VICKBALLARD","RB","Vick Ballard","IND",62,216,4.26,1.4,NA,0,0,0,4.4,17.2,0.1,1.1,10.6,0.1,0,0,0
"TYMONTGOMERY","WR","Ty Montgomery","GB",92,217,4.21,2.2,NA,0,0,0,0.4,2.6,0,1.4,19,0.2,0.1,0,0
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",63,218,4.14,1.9,NA,0,0,0,3.4,15.9,0.1,1.5,11.9,0,0,0,0
"JAELENSTRONG","WR","Jaelen Strong","HOU",93,219,4.13,3,NA,0,0,0,0,0,0,1.9,24.2,0.1,0,0,0
"WILLIESNEAD","WR","Willie Snead","NO",93,219,4.13,2.5,NA,0,0,0,0,0,0,1.7,24.9,0.1,0,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",95,221,4.12,2.9,NA,0,0,0,0.2,1.5,0,1.8,23.8,0.1,0,0,0
"TREMASON","RB","Tre Mason","STL",64,222,4.07,1,NA,0,0,0,5.4,23.1,0.1,0.8,6.3,0,0,0,0
"JAMESSTARKS","RB","James Starks","GB",65,223,4.04,1.2,NA,0,0,0,4.2,19.9,0.1,0.9,7.5,0.1,0,0,0
"RODSTREATER","WR","Rod Streater","OAK",96,224,3.98,3.2,NA,0,0,0,0,0,0,1.8,24.7,0.1,0,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",66,225,3.94,1,NA,0,0,0,5.4,21.2,0.1,0.8,6.5,0,0,0,0
"FREDJACKSON","RB","Fred Jackson","SEA",67,226,3.86,1.1,NA,0,0,0,4.5,17.9,0.1,0.8,6.7,0,0,0,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",32,227,3.82,2.7,NA,0,0,0,0,0,0,1.8,19.9,0.2,0,0,0
"DAMIENWILLIAMS","RB","Damien Williams","MIA",68,228,3.79,1,NA,0,0,0,4.2,17.4,0.1,0.8,6.5,0,0,0,0
"GARRETTGRAHAM","TE","Garrett Graham","HOU",33,229,3.61,2.7,NA,0,0,0,0,0,0,1.8,19.7,0.1,0,0,0
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",97,230,3.58,2.7,NA,0,0,0,0.2,1,0,1.5,20.6,0.1,0,0,0
"LADARIUSGREEN","TE","Ladarius Green","SD",34,231,3.56,2.5,NA,0,0,0,0,0,0,1.6,19.9,0.1,0,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",98,232,3.44,2.1,NA,0,0,0,0.3,1.7,0,1.3,17.7,0.1,0,0,0
"DAVIDCOBB","RB","David Cobb","TEN",69,233,3.42,0.3,NA,0,0,0,5.6,22.1,0.2,0.2,1.8,0,0,0,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","ARI",35,234,3.38,2.2,NA,0,0,0,0,0,0,1.7,17.6,0.1,0,0,0
"JEROMESIMPSON","WR","Jerome Simpson","SF",99,235,3.37,2.7,NA,0,0,0,0,0,0,1.5,21.1,0.1,0,0,0
"CLIVEWALFORD","TE","Clive Walford","OAK",36,236,3.3,2.6,NA,0,0,0,0,0,0,1.6,19.1,0.1,0,0,0
"ANDREHOLMES","WR","Andre Holmes","OAK",100,237,3.28,2.5,NA,0,0,0,0,0,0,1.4,20.1,0.1,0,0,0
"RILEYCOOPER","WR","Riley Cooper","PHI",101,238,3.26,2.2,NA,0,0,0,0,0,0,1.3,18,0.1,0,0,0
"THEORIDDICK","RB","Theo Riddick","DET",70,239,3.22,2.2,NA,0,0,0,1,3.8,0,1.7,15,0.1,0,0,0
"ROBHOUSLER","TE","Rob Housler","CLE",37,240,3.19,2.4,NA,0,0,0,0,0,0,1.5,17.9,0.1,0,0,0
"BRENTCELEK","TE","Brent Celek","PHI",38,241,3.18,2.2,NA,0,0,0,0,0,0,1.4,15.6,0.2,0,0,0
"CAMERONARTISPAYNE","RB","Cameron Artis-Payne","RTI",71,242,3.1,0.4,NA,0,0,0,4.4,19.1,0.1,0.3,2.8,0,0,0,0
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",72,243,3.01,0.9,NA,0,0,0,3.8,14.2,0.1,0.7,5,0,0,0,0
"JUWANTHOMPSON","RB","Juwan Thompson","DEN",73,244,2.99,0.3,NA,0,0,0,3.3,15,0.2,0.3,2.2,0,0,0,0
"CROCKETTGILLMORE","TE","Crockett Gillmore","BAL",39,245,2.9,1.9,NA,0,0,0,0,0,0,1.3,15.1,0.1,0,0,0
"DIONSIMS","TE","Dion Sims","MIA",39,245,2.9,2,NA,0,0,0,0,0,0,1.3,14.6,0.1,0,0,0
"DARRENFELLS","TE","Darren Fells","ARI",41,247,2.87,1.7,NA,0,0,0,0,0,0,1.3,14.5,0.1,0,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",41,247,2.87,1.6,NA,0,0,0,0,0,0,1,12.2,0.2,0,0,0
"JUSTINHARDY","WR","Justin Hardy","ATL",102,249,2.86,2.2,NA,0,0,0,0,0,0,1.4,16.8,0.1,0,0,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","CHI",74,249,2.86,1,NA,0,0,0,2.9,12.1,0.1,0.8,6.7,0,0,0,0
"JAMISONCROWDER","WR","Jamison Crowder","WAS",103,251,2.82,2.2,NA,0,0,0,0,0,0,1.4,16.8,0.1,0,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",104,252,2.81,1.6,NA,0,0,0,0.5,3,0,1,12,0.1,0.1,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",75,253,2.8,0.7,NA,0,0,0,3.1,12.6,0.1,0.6,4.9,0,0,0,0
"COREYFULLER","WR","Corey Fuller","DET",105,254,2.7,1.7,NA,0,0,0,0.3,1.6,0,1,15.7,0.1,0,0,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",76,254,2.7,0.6,NA,0,0,0,2.8,12.1,0.1,0.4,3.3,0,0,0,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAX",43,256,2.65,2,NA,0,0,0,0,0,0,1.2,13.9,0.1,0,0,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",106,257,2.64,1.9,NA,0,0,0,0,0,0,1.2,16,0.1,0,0,0
"LEVINETOILOLO","TE","Levine Toilolo","ATL",44,258,2.6,1.8,NA,0,0,0,0,0,0,1.2,12.6,0.1,0,0,0
"JAVORIUSALLEN","RB","Javorius Allen","BAL",77,259,2.56,1,NA,0,0,0,2.6,10.5,0.1,0.8,5.9,0,0,0,0
"VIRGILGREEN","TE","Virgil Green","DEN",45,260,2.5,1.7,NA,0,0,0,0,0,0,1.2,11.2,0.1,0,0,0
"BRANDENOLIVER","RB","Branden Oliver","SD",78,261,2.49,0.7,NA,0,0,0,3.1,13.4,0.1,0.5,4.3,0,0,0,0
"JOSHROBINSON","RB","Josh Robinson","IND",79,262,2.48,1,NA,0,0,0,2.1,8.2,0.1,0.9,7,0,0,0,0
"ANDREWQUARLESS","TE","Andrew Quarless","GB",46,262,2.48,1.5,NA,0,0,0,0,0,0,1,11.4,0.1,0,0,0
"DEVINHESTER","WR","Devin Hester","ATL",107,262,2.48,1.1,NA,0,0,0,0.4,2.9,0,0.7,9.1,0,0.1,0,0
"JEREMYLANGFORD","RB","Jeremy Langford","CHI",80,265,2.45,0.2,NA,0,0,0,3.9,16.7,0.1,0.1,1.1,0,0,0,0
"TOBYGERHART","RB","Toby Gerhart","JAX",81,266,2.43,1.3,NA,0,0,0,1.6,6.6,0,1,8.2,0,0,0,0
"RASHADGREENE","WR","Rashad Greene","JAX",108,267,2.36,1.6,NA,0,0,0,0,0,0,1,12.2,0.1,0,0,0
