"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"JARIUSWRIGHT","WR","Jarius Wright","MIN",53,139,4.1,NA,NA,0,0,0,NA,6,0,NA,35,0,NA,0,0
"JAMESWHITE","RB","James White","NE",41,142,4,NA,NA,0,0,0,NA,18,0,NA,22,0,NA,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","DAL",42,143,3.8,NA,NA,0,0,0,NA,35,0,NA,3,0,NA,0,0
"DANNYAMENDOLA","WR","Danny Amendola","NE",54,143,3.8,NA,NA,0,0,0,NA,0,0,NA,38,0,NA,0,0
"LEONARDHANKERSON","WR","Leonard Hankerson","ATL",54,143,3.8,NA,NA,0,0,0,NA,0,0,NA,38,0,NA,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",54,143,3.8,NA,NA,0,0,0,NA,0,0,NA,38,0,NA,0,0
"MELVINGORDON","RB","Melvin Gordon","SD",43,147,3.7,NA,NA,0,0,0,NA,32,0,NA,5,0,NA,0,0
"ROYHELU","RB","Roy Helu","OAK",43,147,3.7,NA,NA,0,0,0,NA,18,0,NA,19,0,NA,0,0
"TYMONTGOMERY","WR","Ty Montgomery","GB L",57,147,3.7,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"SCOTTCHANDLER","TE","Scott Chandler","NE",23,147,3.7,NA,NA,0,0,0,NA,0,0,NA,37,0,NA,0,0
"KENNYBRITT","WR","Kenny Britt","STL",58,151,3.6,NA,NA,0,0,0,NA,1,0,NA,35,0,NA,0,0
"CHARLESJOHNSON","WR","Charles Johnson","MIN",58,151,3.6,NA,NA,0,0,0,NA,1,0,NA,35,0,NA,0,0
"KENNYSTILLS","WR","Kenny Stills","MIA",58,151,3.6,NA,NA,0,0,0,NA,0,0,NA,36,0,NA,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",58,151,3.6,NA,NA,0,0,0,NA,0,0,NA,36,0,NA,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NYJ",45,155,3.5,NA,NA,0,0,0,NA,31,0,NA,4,0,NA,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",62,155,3.5,NA,NA,0,0,0,NA,11,0,NA,24,0,NA,0,0
"TREMASON","RB","Tre Mason","STL",46,157,3.4,NA,NA,0,0,0,NA,27,0,NA,7,0,NA,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",46,157,3.4,NA,NA,0,0,0,NA,18,0,NA,16,0,NA,0,0
"BRANDONCOLEMAN","WR","Brandon Coleman","NO",63,157,3.4,NA,NA,0,0,0,NA,0,0,NA,34,0,NA,0,0
"VERNONDAVIS","TE","Vernon Davis","DEN",24,157,3.4,NA,NA,0,0,0,NA,0,0,NA,34,0,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",64,161,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"GREGJENNINGS","WR","Greg Jennings","MIA",64,161,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"CLAYHARBOR","TE","Clay Harbor","JAC",25,161,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",48,164,3.2,NA,NA,0,0,0,NA,13,0,NA,19,0,NA,0,0
"COREYBROWN","WR","Corey Brown","CAR",66,164,3.2,NA,NA,0,0,0,NA,4,0,NA,28,0,NA,0,0
"BRIANQUICK","WR","Brian Quick","STL",66,164,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",26,164,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"TORREYSMITH","WR","Torrey Smith","SF",68,168,3.1,NA,NA,0,0,0,NA,0,0,NA,31,0,NA,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",49,169,3,NA,NA,0,0,0,NA,23,0,NA,7,0,NA,0,0
"ANDREROBERTS","WR","Andre Roberts","WAS",69,169,3,NA,NA,0,0,0,NA,1,0,NA,29,0,NA,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",27,169,3,NA,NA,0,0,0,NA,0,0,NA,30,0,NA,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",50,172,2.9,NA,NA,0,0,0,NA,25,0,NA,4,0,NA,0,0
"ANDRECALDWELL","WR","Andre Caldwell","DEN",70,172,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"DORIALGREENBECKHAM","WR","Dorial Green-Beckham","TEN",70,172,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
