"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"AARONMELLETTE","WR","Aaron Mellette","BAL",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKKASA","TE","Nick Kasa","OAK",42,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEVINMCDERMOTT","TE","Kevin McDermott","BAL",42,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARQUEISGRAYBUF","TE","MarQueis Gray Buf","BUF",42,240,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"ZACHSUDFELD","TE","Zach Sudfeld","NYJ",42,240,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MICHAELWILLIAMS","TE","Michael Williams","DET",42,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SKYEDAWSON","WR","Skye Dawson","DET",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CODYWILSON","WR","Cody Wilson","DET",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISTHOMPSON","RB","Chris Thompson","WAS",75,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKWILLIAMS","WR","Nick Williams","WAS",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","OAK",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHADBUMPHIS","WR","Chad Bumphis","JAX",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR","Adam Thielen","MIN",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERRARDSHEPPARD","WR","Gerrard Sheppard","GB",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNATHANFRANKLIN","RB","Johnathan Franklin","GB",75,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHUCKJACOBS","WR","Chuck Jacobs","SF",94,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
